id,project_id,name
237,66,Plan
238,66,Design
239,67,Build
240,67,Review
241,67,Deploy
242,68,Plan
243,68,Deploy
244,68,Test
245,68,Design
246,69,Review
247,69,Design
248,69,Deploy
249,69,Plan
250,69,Test
251,70,Test
252,70,Design
253,70,Review
254,70,Build
255,70,Plan
256,71,Review
257,71,Design
258,71,Deploy
259,71,Test
260,71,Plan
261,72,Build
262,72,Plan
263,72,Deploy
264,72,Design
265,73,Review
266,73,Deploy
267,73,Plan
268,73,Build
269,74,Review
270,74,Test
271,74,Plan
272,74,Build
273,74,Design
274,75,Test
275,75,Design
276,75,Plan
277,75,Deploy
278,75,Review
279,76,Build
280,76,Review
281,76,Deploy
282,77,Design
283,77,Plan
284,77,Test
285,77,Deploy
286,77,Build
287,78,Plan
288,78,Review
289,78,Test
290,78,Build
291,79,Review
292,79,Plan
293,79,Deploy
294,79,Build
295,79,Test
296,80,Test
297,80,Review
298,80,Design
299,80,Build
300,81,Test
301,81,Deploy
302,81,Review
303,82,Test
304,82,Plan
305,82,Review
306,82,Deploy
307,82,Design
308,83,Plan
309,83,Design
310,83,Review
311,83,Deploy
312,84,Build
313,84,Design
314,84,Review
315,84,Deploy
316,85,Design
317,85,Build
318,85,Deploy
319,85,Test
320,86,Plan
321,86,Deploy
322,86,Review
323,87,Review
324,87,Build
325,87,Design
326,87,Deploy
327,88,Build
328,88,Plan
329,88,Deploy
330,88,Design
331,89,Deploy
332,89,Plan
333,89,Build
334,89,Review
335,89,Test
336,90,Test
337,90,Review
338,90,Build
339,90,Deploy
340,90,Plan
341,91,Plan
342,91,Review
343,91,Design
344,91,Build
345,91,Deploy
346,92,Test
347,92,Build
348,92,Plan
349,92,Review
350,92,Design
351,93,Design
352,93,Plan
353,93,Test
354,93,Deploy
355,94,Build
356,94,Deploy
357,94,Test
358,94,Review
359,95,Plan
360,95,Deploy
361,95,Test
362,96,Deploy
363,96,Build
364,96,Design
365,97,Design
366,97,Build
367,97,Plan
368,97,Test
369,97,Review
370,98,Deploy
371,98,Plan
372,98,Design
373,99,Build
374,99,Deploy
375,99,Test
376,99,Design
377,100,Build
378,100,Design
379,100,Deploy
380,100,Review
381,100,Test
382,101,Design
383,101,Plan
384,101,Deploy
385,102,Plan
386,102,Review
387,102,Test
388,103,Design
389,103,Test
390,103,Build
391,103,Deploy
392,104,Review
393,104,Plan
394,104,Build
395,104,Design
396,104,Test
397,105,Test
398,105,Build
399,105,Design
400,105,Plan
401,105,Review
402,106,Plan
403,106,Review
404,106,Build
405,106,Test
406,106,Design
407,107,Build
408,107,Test
409,107,Design
410,107,Deploy
411,108,Build
412,108,Plan
413,108,Deploy
414,108,Review
415,109,Build
416,109,Plan
417,109,Deploy
418,110,Plan
419,110,Review
420,110,Build
421,111,Test
422,111,Review
423,111,Build
424,111,Plan
425,112,Test
426,112,Review
427,112,Build
428,112,Design
429,112,Deploy
430,113,Design
431,113,Deploy
432,113,Plan
433,113,Review
434,113,Test
435,114,Design
436,114,Deploy
437,114,Build
438,114,Test
439,114,Plan
440,115,Build
441,115,Plan
442,115,Review
443,115,Test
444,115,Deploy
445,116,Test
446,116,Plan
447,116,Build
448,117,Review
449,117,Deploy
450,117,Build
451,118,Design
452,118,Build
453,118,Plan
454,118,Review
455,119,Build
456,119,Deploy
457,119,Plan
458,120,Deploy
459,120,Design
460,120,Review
461,120,Build
462,120,Test
463,121,Plan
464,121,Review
465,121,Build
466,121,Deploy
467,121,Design
468,122,Plan
469,122,Build
470,122,Test
471,122,Review
472,123,Build
473,123,Design
474,123,Test
475,123,Deploy
476,124,Review
477,124,Test
478,124,Design
479,125,Build
480,125,Deploy
481,125,Test
482,126,Build
483,126,Deploy
484,126,Design
