id,name,project_manager_id,budget,status,is_active,is_successful,start_date,end_date
93,Synthetic_67,17,7000.0,Completed,0,0.0,2025-06-29,2025-07-13
94,Synthetic_68,11,7000.0,Completed,0,0.0,2025-07-06,2025-07-15
95,Synthetic_69,17,6000.0,Confirmed,0,0.0,2025-07-13,2025-07-27
96,Synthetic_70,17,7000.0,Completed,0,0.0,2025-07-20,2025-07-30
97,Synthetic_71,21,8000.0,Completed,0,1.0,2025-07-27,2025-08-05
98,Synthetic_72,21,7000.0,Confirmed,0,1.0,2025-08-03,2025-08-17
99,Synthetic_73,11,6000.0,Confirmed,0,0.0,2025-08-10,2025-08-19
100,Synthetic_74,11,5000.0,Confirmed,0,1.0,2025-08-17,2025-09-02
101,Synthetic_75,5,5000.0,Confirmed,0,0.0,2025-08-24,2025-09-07
102,Synthetic_76,21,8000.0,Completed,0,1.0,2025-08-31,2025-09-07
103,Synthetic_77,11,4000.0,Completed,0,1.0,2025-09-07,2025-09-18
104,Synthetic_78,21,6000.0,Confirmed,0,0.0,2025-09-14,2025-09-28
105,Synthetic_79,17,4000.0,Confirmed,0,0.0,2025-09-21,2025-10-07
106,Synthetic_80,11,6000.0,Confirmed,0,0.0,2025-09-28,2025-10-09
107,Synthetic_81,5,5000.0,Confirmed,0,0.0,2025-10-05,2025-10-19
108,Synthetic_82,17,7000.0,Confirmed,0,0.0,2025-10-12,2025-10-27
109,Synthetic_83,5,5000.0,Confirmed,0,0.0,2025-10-19,2025-11-03
110,Synthetic_84,21,6000.0,Confirmed,0,0.0,2025-10-26,2025-11-11
111,Synthetic_85,17,6000.0,Confirmed,0,1.0,2025-11-02,2025-11-15
112,Synthetic_86,11,8000.0,Completed,0,1.0,2025-11-09,2025-11-20
113,Synthetic_87,21,5000.0,Confirmed,0,1.0,2025-11-16,2025-12-01
114,Synthetic_88,17,7000.0,Confirmed,0,0.0,2025-11-23,2025-12-07
115,Synthetic_89,11,7000.0,Completed,0,0.0,2025-11-30,2025-12-12
116,Synthetic_90,5,6000.0,Completed,0,1.0,2025-12-07,2025-12-21
117,Synthetic_91,5,8000.0,Confirmed,0,0.0,2025-12-14,2025-12-27
118,Synthetic_92,21,8000.0,Confirmed,0,0.0,2025-12-21,2026-01-01
119,Synthetic_93,17,6000.0,Confirmed,0,1.0,2025-12-28,2026-01-10
120,Synthetic_94,5,7000.0,Completed,0,1.0,2026-01-04,2026-01-16
121,Synthetic_95,21,6000.0,Confirmed,0,0.0,2026-01-11,2026-01-22
122,Synthetic_96,11,7000.0,Completed,0,1.0,2026-01-18,2026-01-31
123,Synthetic_97,5,4000.0,Completed,0,1.0,2026-01-25,2026-02-08
124,Synthetic_98,5,6000.0,Completed,0,1.0,2026-02-01,2026-02-11
125,Synthetic_99,21,4000.0,Completed,0,0.0,2026-02-08,2026-02-22
126,Synthetic_100,21,7000.0,Completed,0,0.0,2026-02-15,2026-02-25
