id,task_id,person_id,date,hours
111,147,1,2024-07-28,14.0
112,147,13,2024-07-28,23.0
113,148,2,2024-08-04,18.0
114,149,11,2024-08-04,9.0
115,149,26,2024-08-04,18.0
116,150,11,2024-08-04,16.0
117,150,13,2024-08-04,22.0
118,151,26,2024-08-04,10.0
119,152,10,2024-08-11,10.0
120,152,23,2024-08-11,16.0
121,153,22,2024-08-11,19.0
122,153,11,2024-08-11,10.0
123,154,5,2024-08-11,18.0
124,154,2,2024-08-11,17.0
125,155,15,2024-08-18,11.0
126,155,25,2024-08-18,13.0
127,156,10,2024-08-18,19.0
128,157,26,2024-08-18,23.0
129,158,5,2024-08-18,22.0
130,159,10,2024-08-18,18.0
131,160,4,2024-08-25,23.0
132,160,25,2024-08-25,24.0
133,161,5,2024-08-25,19.0
134,161,2,2024-08-25,14.0
135,162,21,2024-08-25,8.0
136,163,5,2024-08-25,15.0
137,163,9,2024-08-25,8.0
138,164,25,2024-08-25,11.0
139,165,16,2024-09-01,16.0
140,165,10,2024-09-01,8.0
141,166,1,2024-09-01,23.0
142,167,25,2024-09-01,20.0
143,168,9,2024-09-01,18.0
144,169,23,2024-09-01,23.0
145,169,19,2024-09-01,20.0
146,170,9,2024-09-08,11.0
147,171,9,2024-09-08,8.0
148,171,19,2024-09-08,24.0
149,172,3,2024-09-08,9.0
150,172,12,2024-09-08,14.0
151,173,15,2024-09-08,11.0
152,173,14,2024-09-08,15.0
153,174,1,2024-09-08,9.0
154,174,26,2024-09-08,16.0
155,175,18,2024-09-15,10.0
156,175,2,2024-09-15,14.0
157,176,16,2024-09-15,20.0
158,177,5,2024-09-15,11.0
159,178,23,2024-09-15,20.0
160,179,26,2024-09-15,15.0
161,180,5,2024-09-22,9.0
162,181,13,2024-09-22,12.0
163,181,22,2024-09-22,20.0
164,182,19,2024-09-22,21.0
165,183,21,2024-09-22,16.0
166,184,16,2024-09-29,23.0
167,184,20,2024-09-29,16.0
168,185,10,2024-09-29,13.0
169,186,22,2024-09-29,9.0
170,186,2,2024-09-29,21.0
171,187,13,2024-09-29,13.0
172,188,6,2024-10-06,20.0
173,188,11,2024-10-06,11.0
174,189,4,2024-10-06,8.0
175,190,20,2024-10-06,22.0
176,191,9,2024-10-13,16.0
177,191,17,2024-10-13,16.0
178,192,3,2024-10-13,12.0
179,193,13,2024-10-13,18.0
180,194,11,2024-10-13,20.0
181,194,6,2024-10-13,16.0
182,195,4,2024-10-13,10.0
183,196,1,2024-10-20,13.0
184,196,2,2024-10-20,14.0
185,197,2,2024-10-20,16.0
186,198,20,2024-10-20,8.0
187,198,6,2024-10-20,18.0
188,199,23,2024-10-20,18.0
189,200,19,2024-10-27,23.0
190,201,9,2024-10-27,16.0
191,202,22,2024-10-27,13.0
192,203,5,2024-10-27,15.0
193,203,13,2024-10-27,22.0
194,204,22,2024-11-03,22.0
195,205,5,2024-11-03,9.0
196,205,23,2024-11-03,23.0
197,206,1,2024-11-03,19.0
198,207,5,2024-11-03,15.0
199,207,11,2024-11-03,16.0
200,208,2,2024-11-10,15.0
201,208,1,2024-11-10,20.0
202,209,8,2024-11-10,19.0
203,210,26,2024-11-10,14.0
204,210,11,2024-11-10,17.0
205,211,26,2024-11-10,22.0
206,211,18,2024-11-10,19.0
207,212,4,2024-11-10,12.0
208,212,21,2024-11-10,10.0
209,213,19,2024-11-17,13.0
210,214,2,2024-11-17,20.0
211,214,8,2024-11-17,18.0
212,215,16,2024-11-17,9.0
213,216,15,2024-11-17,9.0
214,217,4,2024-11-24,22.0
215,217,21,2024-11-24,19.0
216,218,22,2024-11-24,10.0
217,219,14,2024-11-24,15.0
218,220,7,2024-11-24,23.0
219,221,17,2024-11-24,23.0
220,221,5,2024-11-24,14.0
221,222,19,2024-12-01,16.0
222,222,12,2024-12-01,22.0
223,223,23,2024-12-01,22.0
224,224,1,2024-12-01,17.0
225,225,11,2024-12-01,17.0
226,226,14,2024-12-01,17.0
227,227,6,2024-12-08,21.0
228,227,23,2024-12-08,15.0
229,228,26,2024-12-08,20.0
230,228,22,2024-12-08,12.0
231,229,17,2024-12-08,13.0
232,229,6,2024-12-08,12.0
233,230,18,2024-12-08,13.0
234,230,12,2024-12-08,24.0
235,231,11,2024-12-15,23.0
236,232,9,2024-12-15,9.0
237,233,25,2024-12-15,13.0
238,234,18,2024-12-15,20.0
239,234,24,2024-12-15,8.0
240,235,19,2024-12-15,19.0
241,235,21,2024-12-15,20.0
242,236,4,2024-12-22,15.0
243,237,8,2024-12-22,16.0
244,238,24,2024-12-22,9.0
245,239,14,2024-12-29,17.0
246,240,22,2024-12-29,17.0
247,241,10,2024-12-29,15.0
248,241,20,2024-12-29,13.0
249,242,4,2025-01-05,23.0
250,243,20,2025-01-05,24.0
251,244,12,2025-01-05,19.0
252,245,2,2025-01-05,15.0
253,245,26,2025-01-05,16.0
254,246,11,2025-01-12,18.0
255,247,2,2025-01-12,10.0
256,248,26,2025-01-12,19.0
257,249,5,2025-01-12,14.0
258,250,18,2025-01-12,9.0
259,250,15,2025-01-12,12.0
260,251,18,2025-01-19,24.0
261,251,25,2025-01-19,11.0
262,252,4,2025-01-19,12.0
263,252,24,2025-01-19,15.0
264,253,3,2025-01-19,22.0
265,253,10,2025-01-19,24.0
266,254,20,2025-01-19,14.0
267,255,10,2025-01-19,10.0
268,255,13,2025-01-19,8.0
269,256,16,2025-01-26,16.0
270,257,16,2025-01-26,24.0
271,258,9,2025-01-26,23.0
272,258,19,2025-01-26,24.0
273,259,2,2025-01-26,8.0
274,259,18,2025-01-26,8.0
275,260,26,2025-01-26,21.0
276,260,14,2025-01-26,10.0
277,261,16,2025-02-02,16.0
278,262,5,2025-02-02,10.0
279,263,7,2025-02-02,21.0
280,264,8,2025-02-02,16.0
281,264,24,2025-02-02,12.0
282,265,6,2025-02-09,15.0
283,265,10,2025-02-09,14.0
284,266,17,2025-02-09,11.0
285,266,5,2025-02-09,20.0
286,267,19,2025-02-09,15.0
287,267,26,2025-02-09,8.0
288,268,1,2025-02-09,20.0
289,269,10,2025-02-16,16.0
290,270,14,2025-02-16,24.0
291,270,8,2025-02-16,12.0
292,271,10,2025-02-16,8.0
293,272,24,2025-02-16,14.0
294,273,3,2025-02-16,20.0
295,273,5,2025-02-16,8.0
296,274,12,2025-02-23,17.0
297,275,5,2025-02-23,24.0
298,275,3,2025-02-23,11.0
299,276,19,2025-02-23,18.0
300,276,20,2025-02-23,14.0
301,277,17,2025-02-23,18.0
302,277,3,2025-02-23,12.0
303,278,26,2025-02-23,13.0
304,279,19,2025-03-02,20.0
305,279,16,2025-03-02,12.0
306,280,16,2025-03-02,23.0
307,280,12,2025-03-02,17.0
308,281,9,2025-03-02,13.0
309,281,2,2025-03-02,22.0
310,282,8,2025-03-09,14.0
311,283,11,2025-03-09,22.0
312,283,3,2025-03-09,11.0
313,284,14,2025-03-09,14.0
314,284,25,2025-03-09,12.0
315,285,16,2025-03-09,13.0
316,285,6,2025-03-09,14.0
317,286,21,2025-03-09,23.0
318,287,1,2025-03-16,10.0
319,288,14,2025-03-16,22.0
320,288,13,2025-03-16,16.0
321,289,24,2025-03-16,18.0
322,289,13,2025-03-16,10.0
323,290,13,2025-03-16,9.0
324,291,11,2025-03-23,24.0
325,292,15,2025-03-23,11.0
326,292,20,2025-03-23,8.0
327,293,4,2025-03-23,20.0
328,293,18,2025-03-23,18.0
329,294,26,2025-03-23,23.0
330,294,2,2025-03-23,21.0
331,295,12,2025-03-23,22.0
332,296,2,2025-03-30,14.0
333,296,1,2025-03-30,16.0
334,297,19,2025-03-30,19.0
335,298,6,2025-03-30,19.0
336,299,6,2025-03-30,13.0
337,299,24,2025-03-30,16.0
338,300,21,2025-04-06,16.0
339,300,4,2025-04-06,18.0
340,301,20,2025-04-06,21.0
341,301,13,2025-04-06,11.0
342,302,25,2025-04-06,9.0
343,302,4,2025-04-06,23.0
344,303,5,2025-04-13,20.0
345,304,4,2025-04-13,18.0
346,304,19,2025-04-13,18.0
347,305,23,2025-04-13,16.0
348,306,12,2025-04-13,19.0
349,307,10,2025-04-13,23.0
350,307,11,2025-04-13,8.0
351,308,18,2025-04-20,24.0
352,309,14,2025-04-20,12.0
353,309,7,2025-04-20,15.0
354,310,4,2025-04-20,18.0
355,310,22,2025-04-20,12.0
356,311,23,2025-04-20,15.0
357,312,15,2025-04-27,13.0
358,312,20,2025-04-27,9.0
359,313,15,2025-04-27,18.0
360,313,5,2025-04-27,14.0
361,314,2,2025-04-27,14.0
362,314,6,2025-04-27,16.0
363,315,22,2025-04-27,21.0
364,315,1,2025-04-27,8.0
365,316,25,2025-05-04,23.0
366,316,5,2025-05-04,13.0
367,317,22,2025-05-04,20.0
368,317,14,2025-05-04,18.0
369,318,24,2025-05-04,14.0
370,318,23,2025-05-04,22.0
371,319,26,2025-05-04,18.0
372,319,20,2025-05-04,13.0
373,320,15,2025-05-11,14.0
374,321,5,2025-05-11,19.0
375,321,14,2025-05-11,16.0
376,322,16,2025-05-11,17.0
377,322,8,2025-05-11,20.0
378,323,1,2025-05-18,9.0
379,323,25,2025-05-18,17.0
380,324,5,2025-05-18,19.0
381,324,14,2025-05-18,18.0
382,325,8,2025-05-18,19.0
383,326,20,2025-05-18,16.0
384,326,15,2025-05-18,18.0
385,327,15,2025-05-25,11.0
386,328,3,2025-05-25,21.0
387,328,8,2025-05-25,13.0
388,329,11,2025-05-25,10.0
389,329,22,2025-05-25,23.0
390,330,7,2025-05-25,18.0
391,330,12,2025-05-25,21.0
392,331,24,2025-06-01,15.0
393,331,22,2025-06-01,14.0
394,332,12,2025-06-01,17.0
395,333,5,2025-06-01,9.0
396,334,4,2025-06-01,23.0
397,334,23,2025-06-01,16.0
398,335,18,2025-06-01,9.0
399,335,11,2025-06-01,9.0
400,336,15,2025-06-08,12.0
401,337,6,2025-06-08,21.0
402,337,4,2025-06-08,22.0
403,338,13,2025-06-08,20.0
404,339,21,2025-06-08,11.0
405,339,7,2025-06-08,18.0
406,340,25,2025-06-08,17.0
407,341,23,2025-06-15,13.0
408,341,21,2025-06-15,14.0
409,342,22,2025-06-15,15.0
410,342,1,2025-06-15,19.0
411,343,23,2025-06-15,10.0
412,343,4,2025-06-15,9.0
413,344,5,2025-06-15,24.0
414,345,9,2025-06-15,17.0
415,345,25,2025-06-15,22.0
416,346,11,2025-06-22,17.0
417,347,26,2025-06-22,11.0
418,348,6,2025-06-22,9.0
419,348,19,2025-06-22,21.0
420,349,19,2025-06-22,11.0
421,350,18,2025-06-22,17.0
422,350,14,2025-06-22,11.0
423,351,26,2025-06-29,23.0
424,351,23,2025-06-29,14.0
425,352,2,2025-06-29,10.0
426,352,4,2025-06-29,22.0
427,353,8,2025-06-29,14.0
428,353,17,2025-06-29,17.0
429,354,19,2025-06-29,19.0
430,355,24,2025-07-06,18.0
431,355,6,2025-07-06,20.0
432,356,20,2025-07-06,20.0
433,357,5,2025-07-06,24.0
434,358,16,2025-07-06,11.0
435,359,25,2025-07-13,13.0
436,359,8,2025-07-13,20.0
437,360,17,2025-07-13,24.0
438,361,3,2025-07-13,16.0
439,362,14,2025-07-20,24.0
440,362,21,2025-07-20,19.0
441,363,20,2025-07-20,11.0
442,364,8,2025-07-20,10.0
443,364,26,2025-07-20,24.0
444,365,1,2025-07-27,10.0
445,365,3,2025-07-27,18.0
446,366,20,2025-07-27,22.0
447,367,24,2025-07-27,23.0
448,367,14,2025-07-27,17.0
449,368,15,2025-07-27,16.0
450,369,14,2025-07-27,23.0
451,370,1,2025-08-03,12.0
452,370,19,2025-08-03,20.0
453,371,23,2025-08-03,11.0
454,372,1,2025-08-03,20.0
455,373,7,2025-08-10,8.0
456,374,21,2025-08-10,24.0
457,374,3,2025-08-10,15.0
458,375,23,2025-08-10,9.0
459,376,10,2025-08-10,20.0
460,377,25,2025-08-17,17.0
461,378,10,2025-08-17,11.0
462,378,18,2025-08-17,19.0
463,379,2,2025-08-17,19.0
464,379,12,2025-08-17,16.0
465,380,4,2025-08-17,13.0
466,380,21,2025-08-17,20.0
467,381,1,2025-08-17,17.0
468,382,8,2025-08-24,12.0
469,382,14,2025-08-24,8.0
470,383,22,2025-08-24,15.0
471,383,14,2025-08-24,20.0
472,384,23,2025-08-24,19.0
473,385,13,2025-08-31,12.0
474,386,19,2025-08-31,11.0
475,386,7,2025-08-31,22.0
476,387,25,2025-08-31,20.0
477,387,15,2025-08-31,15.0
478,388,7,2025-09-07,14.0
479,389,21,2025-09-07,16.0
480,389,16,2025-09-07,18.0
481,390,19,2025-09-07,19.0
482,391,6,2025-09-07,10.0
483,391,21,2025-09-07,23.0
484,392,13,2025-09-14,22.0
485,393,14,2025-09-14,18.0
486,394,14,2025-09-14,21.0
487,394,21,2025-09-14,16.0
488,395,23,2025-09-14,15.0
489,395,1,2025-09-14,19.0
490,396,9,2025-09-14,16.0
491,396,19,2025-09-14,8.0
492,397,25,2025-09-21,11.0
493,397,17,2025-09-21,20.0
494,398,4,2025-09-21,12.0
495,399,22,2025-09-21,21.0
496,399,24,2025-09-21,18.0
497,400,3,2025-09-21,19.0
498,401,3,2025-09-21,19.0
499,402,10,2025-09-28,21.0
500,403,15,2025-09-28,22.0
501,403,17,2025-09-28,14.0
502,404,25,2025-09-28,19.0
503,404,1,2025-09-28,19.0
504,405,15,2025-09-28,15.0
505,406,16,2025-09-28,19.0
506,407,9,2025-10-05,18.0
507,407,18,2025-10-05,10.0
508,408,11,2025-10-05,24.0
509,409,8,2025-10-05,16.0
510,409,16,2025-10-05,10.0
511,410,8,2025-10-05,23.0
512,410,16,2025-10-05,9.0
513,411,9,2025-10-12,17.0
514,412,10,2025-10-12,18.0
515,413,12,2025-10-12,24.0
516,413,22,2025-10-12,22.0
517,414,23,2025-10-12,10.0
518,415,3,2025-10-19,8.0
519,415,9,2025-10-19,16.0
520,416,1,2025-10-19,18.0
521,416,13,2025-10-19,17.0
522,417,7,2025-10-19,24.0
523,418,22,2025-10-26,14.0
524,419,2,2025-10-26,17.0
525,419,8,2025-10-26,19.0
526,420,19,2025-10-26,13.0
527,420,25,2025-10-26,24.0
528,421,18,2025-11-02,20.0
529,421,14,2025-11-02,17.0
530,422,7,2025-11-02,18.0
531,423,3,2025-11-02,24.0
532,423,8,2025-11-02,15.0
533,424,19,2025-11-02,8.0
534,425,19,2025-11-09,18.0
535,426,26,2025-11-09,12.0
536,426,19,2025-11-09,13.0
537,427,12,2025-11-09,17.0
538,428,17,2025-11-09,13.0
539,428,8,2025-11-09,24.0
540,429,19,2025-11-09,8.0
541,429,9,2025-11-09,14.0
542,430,3,2025-11-16,8.0
543,431,9,2025-11-16,13.0
544,431,19,2025-11-16,17.0
545,432,24,2025-11-16,18.0
546,432,5,2025-11-16,19.0
547,433,13,2025-11-16,19.0
548,433,26,2025-11-16,9.0
549,434,11,2025-11-16,23.0
550,435,16,2025-11-23,10.0
551,435,14,2025-11-23,9.0
552,436,19,2025-11-23,13.0
553,436,4,2025-11-23,15.0
554,437,25,2025-11-23,17.0
555,437,12,2025-11-23,16.0
556,438,6,2025-11-23,19.0
557,438,7,2025-11-23,14.0
558,439,22,2025-11-23,15.0
559,440,16,2025-11-30,15.0
560,441,5,2025-11-30,11.0
561,442,16,2025-11-30,23.0
562,443,5,2025-11-30,10.0
563,444,5,2025-11-30,22.0
564,445,26,2025-12-07,18.0
565,446,4,2025-12-07,21.0
566,447,5,2025-12-07,18.0
567,447,19,2025-12-07,10.0
568,448,12,2025-12-14,8.0
569,449,19,2025-12-14,14.0
570,450,26,2025-12-14,18.0
571,451,25,2025-12-21,14.0
572,452,13,2025-12-21,9.0
573,452,9,2025-12-21,12.0
574,453,15,2025-12-21,10.0
575,454,13,2025-12-21,15.0
576,455,1,2025-12-28,23.0
577,455,11,2025-12-28,21.0
578,456,23,2025-12-28,15.0
579,456,15,2025-12-28,11.0
580,457,3,2025-12-28,11.0
581,458,17,2026-01-04,23.0
582,459,1,2026-01-04,22.0
583,459,24,2026-01-04,14.0
584,460,25,2026-01-04,9.0
585,460,14,2026-01-04,19.0
586,461,23,2026-01-04,17.0
587,461,4,2026-01-04,13.0
588,462,24,2026-01-04,18.0
589,462,8,2026-01-04,18.0
590,463,13,2026-01-11,10.0
591,463,7,2026-01-11,15.0
592,464,8,2026-01-11,9.0
593,464,16,2026-01-11,9.0
594,465,5,2026-01-11,23.0
595,465,1,2026-01-11,22.0
596,466,20,2026-01-11,13.0
597,466,8,2026-01-11,11.0
598,467,24,2026-01-11,22.0
599,467,8,2026-01-11,23.0
600,468,5,2026-01-18,20.0
601,469,9,2026-01-18,22.0
602,469,16,2026-01-18,10.0
603,470,12,2026-01-18,12.0
604,471,4,2026-01-18,16.0
605,471,13,2026-01-18,11.0
606,472,4,2026-01-25,15.0
607,472,2,2026-01-25,11.0
608,473,26,2026-01-25,22.0
609,474,3,2026-01-25,16.0
610,475,11,2026-01-25,8.0
611,476,12,2026-02-01,11.0
612,476,4,2026-02-01,14.0
613,477,24,2026-02-01,20.0
614,478,17,2026-02-01,19.0
615,478,16,2026-02-01,20.0
616,479,10,2026-02-08,10.0
617,480,18,2026-02-08,17.0
618,481,23,2026-02-08,10.0
619,481,14,2026-02-08,10.0
620,482,11,2026-02-15,11.0
621,483,6,2026-02-15,24.0
622,484,7,2026-02-15,20.0
